sequence,labels
"Prepare the invoice of goods sold or services provided, containing individual prices, the total charge, and the terms. Complete order processing for orders received via telephone, fax and internet and calculate the customerÃ¢ÂÂs final bill.",Others Skills
Prepare the loaded printed circuit boards for solder operations. Clean the board and mark designated areas.,Technological Skills
"Prepare, compile and communicate reports with broken down cost analysis on the proposal and budget plans of the company. Analyse the financial or social costs and benefits of a project or investment in advance over a given period of time.",Thinking Skills
Produce radiographic images to detect flaws in objects.,Digital Skills
"Program permanent software with a read-only memory (ROM) on a hardware device, such as an integrated circuit.",Programming Skills
"Promote and enforce safety procedures and EU regulations to ensure that railway safety is generally maintained and continuously improved, taking into consideration the development of European legislation.",Social Skills
ProofreadÃÂ and give feedback to technical drawings or drafts.,Thinking Skills
Provide advice on and test a wide range of construction materials.,Thinking Skills
"Provide advice on architectural design, based on knowledge of matters such as spatial division, balance of construction elements, and aesthetics.",Thinking Skills
Provide advice on building matters to the various parties involved in construction projects. Bring to their awareness important building considerations and consult on construction budgets.,Social Skills
"Provide customers with information about office equipment and instruct them on how to use equipment such as printers, scanners and modems.",Social Skills
"Provide support and advice to customers in making purchasing decisions by finding out their needs, selecting suitable service and products for them and politely answering questions about products and services.",Social Skills
Put system design and technical specifications in line with software architecture in order to ensure the integration and interoperability between components of the system.,Digital Skills
"Reach an agreement with theÃÂ supplier upon technical, quantity, quality, price, conditions, storage, packaging, send-back and other requirements related to the purchasing and delivering process.",Personal Skills
Reach out to and meet up with people in a professional context. Find common ground and use your contacts for mutual benefit. Keep track of the people in your personal professional network and stay up to date on their activities.,Social Skills
Read and comprehend blueprints and electrical diagrams; understand technical instructions and engineering manuals for assembling electrical equipment; understand electricity theory and electronic components.,Technological Skills
"Read and comprehend circuit plans during initial construction, during troubleshooting, maintenance, and testing activities and while repairing or replacing components.",Technological Skills
Read and interpret drawings listing all the parts and subassemblies of a certain product. The drawing identifies the different components and materials and provides instructions on how to assemble a product.,Technological Skills
"Receive incoming electronics supplies, handle the transaction and enter the supplies into any internal administration system.",Others Skills
"Recognise the symptoms of metal showing oxidation reactions with the environment resulting in rusting, copper pitting, stress cracking, and others, and estimate the rate of corrosion.",Thinking Skills
"Recommend technical solutions, including systems, to the client within the framework of a project.",Technological Skills
Regularly inspect and perform all required activities to maintain the equipment in functional order prior or after its use.,Technological Skills
"Regulate and monitor the manufacturing equipment settings and process parameters, such as its temperature and power level. Review the manufacturing process and equipment and suggest improvements.",Others Skills
Remove defective materials from the production line.,Others Skills
Remove defective parts and replace them with functioning components.,Others Skills
"Repair battery components through replacing cells, repairing wiring, or spot-welding cells.",Others Skills
"Repair, replace or adjust damaged electronics components or circuitry; use hand tools and soldering and welding equipment.",Technological Skills
Reply to private consumer requests according to REACh Regulation 1907/2006 whereby chemical Substances of Very High Concern (SVHC) should be minimal. Advise customers on how to proceed and protect themselves if the presence of SVHC is higher than expected.,Social Skills
"Report on the instrument calibration measurements and results. A calibration report includes the objectives and approach of the test, descriptions of tested instruments or products, test procedures, and test results.",Thinking Skills
"Report test results with a focus on findings and recommendations, differentiating results by levels of severity. Include relevant information from the test plan and outline the test methodologies, using metrics, tables, and visual methods to clarify where needed.",Others Skills
"Research equipment or required machine parts; compare sources, prices and delivery times.",Thinking Skills
Restore old musical instruments to their original condition and conserve them in that state.,Others Skills
"Revise quality control documents. Read through the documents, editing them, and revise items in the documentation like the numbering scheme, process to create new documents, revision and follow up process, closure of non-conformities, methods for tracking documents, etc.",Thinking Skills
Rewire any lose wiring or solder any loose ends of electronic musical instruments.,Technological Skills
Safely pack sensitive electronic equipment for storage and transport.,Others Skills
"Schedule and perform regular maintenance, cleaning, and repairs of all equipment. Order necessary machine parts and upgrade equipment when necessary to ensure optimal performance.",Others Skills
"Select and apply appropriate restoration techniques in order to achieve the required restoration goals. This encompasses preventive measures, remedial measures, restoration processes and management processes.",Thinking Skills
"Sell electronic consumer goods such as TVs, radios, cameras and other audio and video equipment. Provide advice on purchase decisions and try to meet customers wishes. Process payments.",Others Skills
"Sell office equipment such as modems, computer hardware or printers. Provide advice on purchase decisions and try to meet customers wishes. Process payments.",Others Skills
"Set up a list of materials, components, and assemblies as well as the quantities needed to manufacture a certain product.",Others Skills
Set up and configure devices which enhance strength of signal of a communication channel to enable proper reception and reproduction in further places.,Technological Skills
Set up and deploy digital and analogue electronic communications. Understand electronic diagrams and equipment specifications.,Technological Skills
Set up and give commands to a machine by dispatching the appropriate data and input into the (computer) controller corresponding with the desired processed product.,Programming Skills
"Set up and operate optical processing or assembly equipment, such as optical spectrum analysers, power saws, lasers, die bonders, soldering irons, and wire bonders.",Technological Skills
"Set up and operate radio devices and accessories, such as broadcast consoles, amplifiers, and microphones. Understand the basics of radio operator language and, when necessary, provide instruction in handling radio equipment correctly.",Others Skills
"Show the ability to pursue basic manual tasks without the help or assistance of others, not needing supervision or guidance, and taking responsibility for one's actions.",Personal Skills
"Smooth glass or lens surfaces of optical instruments with grinding and polishing tools, such as diamond tools.",Others Skills
Solder electronic components onto bare electronic boards to create loaded electronic boards using hand soldering tools or soldering machinery.,Others Skills
"Specify the criteria by which data quality is measured for business purposes, such as inconsistencies, incompleteness, usability for purpose and accuracy.",Digital Skills
Study the requirements on the transmission capacity of an ICT network or other telecommunication system.,Technological Skills
"Take and prepare samples for testing, verify their representability; avoid bias and any possibility of accidental or deliberate contamination. Provide clear numbering, labelling and recording of the sample details, in order to make sure that the results can be accurately matched to the original material.",Others Skills
Take the necessary precautions while providing temporary power distribution independently. Measure and power up an installation.,Others Skills
"Tend a wide variety of devices for measuring electronic characteristics of system components, such as optical power meter, fibre power meter, digital power meter and multimeter.",Technological Skills
"Test computer hardware systems and components using appropriate equipment and testing methods, such as the system test (ST), the ongoing reliability test (ORT), and the in-circuit test (ICT). Monitor and evaluate system performance and take action if needed.",Technological Skills
"Test electrical equipment for malfunctions. Take safety measures, company guidelines, and legislation concerning electrical equipment into account. Clean, repair and replace parts and connections as required.",Others Skills
"Test electrical systems, machines, and components and check electrical properties, such as voltage, current, resistance, capacitance, and inductance, using electrical testing and measuring equipment, such as a multimeter. Gather and analyse data. Monitor and evaluate system performance and take action if needed.",Technological Skills
Test electronic units using appropriate equipment. Gather and analyse data. Monitor and evaluate system performance and take action if needed.,Technological Skills
Test microelectronics using appropriate equipment. Gather and analyse data. Monitor and evaluate system performance and take action if needed.,Technological Skills
"Test optical systems, products, and components with appropriate optical testing methods, such as axial ray testing and oblique ray testing.",Technological Skills
Test processed workpieces or products for basic faults.,Thinking Skills
"Test the printed circuit board with special testing adapters to ensure optimal efficiency, functionality, and that everything works according to design. Adapt the testing devices to the type of circuit board.",Thinking Skills
"Test, operate, and maintain railway signalling equipment such as power switches and grade crossing warning devices.",Technological Skills
"Transfer tools, materials and equipment to warehouse locations for shipping.",Others Skills
Transpose a series of requirements into a clear and organised software design.,Thinking Skills
Undertake safety inspections in areas of concern to identify and report potential hazards or security breaches; take measures to maximise safety standards.,Others Skills
"Use diagnostic equipment to measure current, resistance and voltage. Handle sophisticated multimeters to measure inductance, capacitance and current transistor gain.",Technological Skills
"Use different measurement instruments depending on the property to be measured. Utilise various instruments to measure length, area, volume, speed, energy, force, and others.",Thinking Skills
"Use electronic, mechanical, electric, or optical precision tools for precision work.",Digital Skills
"Use glass cutting tools or diamond blades to cut pieces out of glass plates, including mirrors.",Others Skills
"Use graphical ICT tools, such as Autodesk Maya, Blender which enable digital editing, modelling, rendering and composition of graphics. These tools are based in mathematical representation of three-dimensional objects.",Others Skills
Use infrared techniques to discover defects in concrete.,Technological Skills
"Use of a variety of specialised tools, instruments and machines, such as presses, drills and grinders; employ them to carry out repairs in a safety manner.",Technological Skills
"Use semiconductor automated test equipment (ATE) to check and diagnose malfunctions in semiconductors and their components, such as resistors, capacitors, and inductors. Apply different testing techniques for different components, such as wafer testing.",Technological Skills
"Use software tools or components that monitor ICT network parameters, such as performance and throughput, provide data and statistics, diagnose errors, failures or bottlenecks and support decision making.",Digital Skills
"Use specific non-destructive testing methods and equipment that do not cause any damage to the product, such as X-rays, ultrasonic testing, magnetic particle inspection, industrial CT scanning and others, in order to find defects in and assure quality of a manufactured and a repaired product.",Technological Skills
"Use specific optical machinery in order to cut, polish, adjust and refine optics.",Technological Skills
Use through-hole technology (THT) to attach the leads of larger electronic components through the corresponding holes in printed circuit boards. Apply this technique manually.,Technological Skills
Use ultrasonic techniques and equipment to discover defects in solid materials.,Technological Skills
Use welding equipment to melt and join together pieces of metal or steel; wear protective eyewear during the working process.,Others Skills
"Utilise computers, IT equipment and modern day technology in an efficient way.",Digital Skills
"Utilise water navigation devices, e.g. compass or sextant, or navigational aids such as lighthouses or buoys, radar, satellite, and computer systems, in order to navigate vessels on waterways. Work with recent charts/maps, notices, and publications in order to determine the precise position of a vessel.",Technological Skills
Verify that all requested resources are delivered and in good working order. Notify the appropriate person or people of any problems related to technical and material resources.,Social Skills
Verify that lenses are according to the specifications.,Others Skills
Wear garments appropriate for environments that require a high level of cleanliness to control the level of contamination.,Others Skills
"Wear relevant and necessary protective gear, such as protective goggles or other eye protection, hard hats, safety gloves.",Others Skills
Weld metal workpieces together by tungsten intert gas (TIG) welding. This arc welding process welds metal workpieces using the heat generated between an arc of electricity struck between a non-consumable tungsten metal electrode. Use an argon or helium inert gas to shield the weld from athmospheric contamination.,Others Skills
Weld metal workpieces together using inert gasses or gas mixtures such as argon and helium. This technique is usually used for welding aluminium and other non-ferrous metals.,Others Skills
"Weld metal, mostly steel, workpieces together using active gas mixtures such as concotions of argon, carbon dioxide and oxygen.",Others Skills
"While designing products, determine if materials are suitable and available for production.",Thinking Skills
"Work in rotating shifts, where the goal is to keep a service or production line running around the clock and each day of the week.",Personal Skills
Work with computer data systems such as Geographic Information Systems (GIS).,Digital Skills
